,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
662,Tefe,BR,87.91,few clouds,-3.3542,-64.7114,Aracati Hotel
663,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
664,Naryan-Mar,RU,66.27,broken clouds,67.6713,53.087,Hostel Agat
665,Ambagarh Chauki,IN,76.75,overcast clouds,20.7833,80.7167,Hunesh kunjam home ....
666,Dunkwa,GH,75.87,light rain,5.9656,-1.78,Tim Freeman Gold City Hotel
667,Ust-Nera,RU,45.27,few clouds,64.5667,143.2,Hotel Ust-Nera
668,Harper,LR,77.74,broken clouds,4.375,-7.7169,Screensaver
669,Goianesia,BR,89.64,broken clouds,-15.3175,-49.1175,Kamur Plaza Hotel - Goianésia
670,Echternach,LU,68.61,broken clouds,49.8056,6.4222,Bel Air
671,Tambun,ID,80.47,few clouds,-6.2641,107.0712,@HOM Premiere Tambun
672,Okitipupa,NG,75.92,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
673,Quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
674,Lewistown,US,84.18,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
675,Buriti Bravo,BR,96.67,scattered clouds,-5.8372,-43.8336,Hotel Fazenda
676,The Valley,AI,85.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
677,Yalta,UA,78.62,few clouds,44.5,34.1667,Yalta-Inturist
678,Pangnirtung,CA,51.8,light rain,66.1451,-65.7125,Kilabuk Lodge
679,Hagersville,CA,82.71,clear sky,42.9668,-80.0497,
680,Zion,US,84.92,haze,42.4461,-87.8328,"Country Inn & Suites by Radisson, Zion, IL"
681,Fuyang,CN,77.41,light rain,32.9,115.8167,Fuyang Wanda Realm Hotel
682,Beroroha,MG,71.06,few clouds,-21.6667,45.1667,
683,Miguel Hidalgo,MX,69.73,scattered clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
684,Palaikastron,GR,83.08,clear sky,35.2,26.25,Marina Village
685,Villarrica,PY,77.27,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
686,Banda,IN,79.79,overcast clouds,25.4833,80.3333,Hotel Comfort-Inn
687,Sal Rei,CV,79.36,light intensity drizzle,16.1833,-22.9167,Marine Club Beach Resort
688,Daytona Beach,US,87.3,broken clouds,29.2108,-81.0228,"Holiday Inn Resort Daytona Beach Oceanfront, an IHG Hotel"
689,Hualmay,PE,68.83,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
690,Itarema,BR,85.89,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
691,Uvira,CD,77.83,broken clouds,-3.4067,29.1458,Hotel Suzana
692,Katangli,RU,51.96,heavy intensity rain,51.7102,143.2326,
693,Bonthe,SL,81.16,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
694,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
695,Katsuura,JP,77.14,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
696,Dryden,CA,82.69,scattered clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
697,Vredendal,ZA,53.69,few clouds,-31.6683,18.5012,Tharrakamma Guest House
698,Vila,PT,72.73,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
699,Kushiro,JP,68.67,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
700,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
701,Rapar,IN,82.98,broken clouds,23.5667,70.6333,Dharamshi Bapa’s Home
702,Morant Bay,JM,90.63,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
703,Laranjeiras Do Sul,BR,70.81,few clouds,-25.4078,-52.4161,Hotel Palmeiras
704,Jumla,NP,63.81,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
705,Shache,CN,79.74,broken clouds,38.4167,77.2406,Delong Hotel
706,Zima,RU,58.82,scattered clouds,53.9202,102.0442,
707,Pathein,MM,78.46,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
708,Japura,ID,74.97,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
