,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Asau,RO,73.4,light rain,46.4333,26.4,Casa Mika Ciobanus
304,Pisco,PE,66.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
305,Sao Miguel Do Araguaia,BR,94.69,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
306,Kisangani,CD,77.65,few clouds,0.5167,25.2,Grand Ramela Hotel
307,Fort Nelson,CA,58.59,light intensity drizzle,58.8053,-122.7002,The Fort Nelson Hotel
308,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,Chissamba,AO,70.54,clear sky,-12.1667,17.3333,
310,Cananea,MX,90.82,clear sky,30.95,-110.3,Casas Montoya
311,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
312,Alice Springs,AU,36.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
313,Ratangarh,IN,90.39,scattered clouds,28.0833,74.6,Hotel Shri Laxmi Palace
314,Hargeysa,SO,74.19,scattered clouds,9.56,44.065,City Center Hotel
315,Ola,RU,47.82,overcast clouds,59.5833,151.2833,
316,Paredon,MX,85.33,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
317,Asfi,MA,74.21,clear sky,32.2994,-9.2372,Hôtel Abda
318,Darhan,MN,59.38,broken clouds,49.4867,105.9228,Buudai Hotel
319,Maralal,KE,62.42,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
320,Alto Araguaia,BR,85.05,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
321,Tete,MZ,73.49,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
322,Flin Flon,CA,66.04,smoke,54.7682,-101.865,Victoria Inn Flin Flon
323,San Miguel De Cauri,PE,54.0,overcast clouds,-10.1,-76.5833,San Miguel de Cauri
324,Bongandanga,CD,75.54,broken clouds,1.5,21.05,
325,Tuatapere,NZ,35.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
326,Wakkanai,JP,73.99,broken clouds,45.4094,141.6739,Hyōsetsu-sō
